iter	Passed	Remaining
0	23	4596
1	29	2954
2	36	2367
3	42	2062
4	48	1893
5	55	1779
6	60	1665
7	66	1596
8	72	1530
9	78	1482
10	85	1471
11	90	1421
12	96	1386
13	101	1345
14	105	1306
15	111	1276
16	115	1246
17	121	1226
18	126	1209
19	131	1187
20	136	1166
21	141	1146
22	146	1128
23	151	1111
24	156	1092
25	161	1083
26	169	1089
27	176	1086
28	182	1076
29	187	1062
30	192	1048
31	197	1036
32	202	1024
33	207	1011
34	212	1003
35	218	994
36	223	986
37	229	979
38	234	968
39	240	963
40	247	959
41	254	957
42	264	967
43	299	1061
44	320	1102
45	326	1091
46	338	1100
47	343	1086
48	348	1072
49	352	1058
50	359	1049
51	364	1036
52	370	1026
53	375	1014
54	379	1001
55	385	990
56	389	977
57	394	966
58	400	956
59	405	945
60	410	934
61	415	924
62	420	913
63	428	910
64	434	902
65	441	896
66	447	888
67	453	881
68	459	872
69	464	862
70	468	852
71	473	842
72	478	832
73	484	824
74	489	815
75	494	806
76	499	797
77	505	790
78	510	782
79	515	773
80	520	764
81	525	755
82	530	747
83	535	739
84	540	731
85	546	724
86	552	717
87	559	711
88	564	703
89	569	695
90	573	687
91	579	679
92	585	673
93	590	665
94	595	658
95	600	650
96	606	643
97	611	636
98	616	629
99	622	622
100	627	614
101	632	607
102	637	600
103	642	592
104	648	586
105	653	579
106	660	573
107	666	567
108	672	561
109	677	554
110	684	548
111	690	542
112	696	535
113	703	530
114	709	524
115	715	517
116	720	511
117	727	505
118	737	501
119	743	495
120	748	488
121	755	482
122	760	476
123	766	469
124	775	465
125	781	459
126	788	453
127	796	447
128	807	444
129	814	438
130	820	432
131	827	426
132	832	419
133	838	412
134	844	406
135	851	400
136	857	394
137	864	388
138	870	382
139	881	377
140	887	371
141	894	365
142	899	358
143	906	352
144	912	346
145	921	340
146	927	334
147	934	328
148	939	321
149	946	315
150	952	308
151	959	302
152	964	296
153	971	290
154	977	283
155	983	277
156	989	270
157	996	264
158	1001	258
159	1006	251
160	1012	245
161	1016	238
162	1023	232
163	1029	225
164	1035	219
165	1040	213
166	1045	206
167	1050	200
168	1055	193
169	1061	187
170	1067	180
171	1072	174
172	1078	168
173	1082	161
174	1088	155
175	1093	149
176	1100	142
177	1105	136
178	1112	130
179	1116	124
180	1121	117
181	1127	111
182	1132	105
183	1138	98
184	1143	92
185	1148	86
186	1154	80
187	1162	74
188	1169	68
189	1176	61
190	1181	55
191	1187	49
192	1193	43
193	1197	37
194	1204	30
195	1208	24
196	1213	18
197	1219	12
198	1224	6
199	1230	0
